"Add to Cart","Köp"
"Cart","Varukorg"
"Clear All","Ta bort alla"
"Currently Shopping by:","Ditt urval:"
"Home","Hem"
"image {current} of {total}","bild {current} av {total}"
"Log Out","Logga ut"
"My Account","Ditt konto"
"No Result","Inget resultat"
"Please enter your email address below. You will receive a link to reset your password.","Ange din e-postadress nedan så skickar vi ut en länk för att återställa ditt lösenord."
"Relevance","Relevans"
"Shop By","Filtrera"
"Sort By","Sortera"
"Starting at:","Från:"
"Create Account","Skapa ett konto"
"Submit","Skicka"
"Password","Lösenord"
"Confirm Password","Bekräfta lösenord"
"* Required Fields","* Obligatoriska fält"
"Email Address","E-postadress"
"Back","Tillbaka"
"Personal Information","Personuppgifter"
"Login Information","Lösenord för inloggning"
"Continue Shopping","Fortsätt handla"
"Product Name","Produkt"
"Remove item","Ta bort artikel"