"Shopping Cart","Slutför ditt köp"
"Subtotal","Summa"
"Shipping & Handling","Frakt"
"Tax","Moms"
"Name","Produkt"
"Qty","Antal"
"Price","à pris"
"Grand Total","Att betala"
"Decrease qty","Minska antal"
"Increase qty","Öka antal"
"Remove item","Radera artikel"
"Are you sure you want to delete this product from your cart?","Är du säker att du vill radera produkten från din kundkorg?"
"A valid coupon code must be entered","En giltig kupongkod måste anges"
"Discount coupon:","Rabattkupong:"
"Use coupon", "Använd rabattkupong"
"Use Coupon", "Använd Rabattkupong"
"Remove coupon", "Ta bort rabattkupong"
"Select shipping method","Välj fraktsätt"
"An error occured in communication with out paymentprovider Klarna, Please try again at a later time.","Ett fel uppstod i kommunikationen med vår betallösning, Klarna. Vänligen försök igen vid ett senare tillfälle."
"Enter details","Ange dina uppgifter"
"Enter Postcode","Postnummer"
"Enter Email","E-post"
"Continue","Fortsätt"
"Ordertotal does not match, maybe you've changed the cart in another tab? Review your order and please try again.","Ordertotalen matchar inte, du har kanske ändrat din kundkorg i en annan flik? Vänligen se över din order och försök igen."
"Postcode does not match, maybe you've changed the postcode in Klarna's checkout? Please make sure that the postcodes match.","Postnumren stämmer inte, du har kanske ändrat postnummer i Klarnas Kassa? Vänligen se till så samma nummer används."
"Email or phone has to be entered","Du måste ange E-post eller Telefon"
"Send","Skicka"
"Can't see the checkout? <a %s>Click here</a>","Kan du inte se kassan? <a %s>Klicka här</a>"
"Enter phonenumber","Telefon"
"Your request for help has been sent, we'll contact you shortly","Din hjälpförfrågan har skickats, vi kontaktar dig inom kort"
"KlarnaCheckout Help Request","Hjälpförfrågan för klarna checkout"
"Enter your email and/or your phonenumber if you can't see the checkout, we'll contact you as soon as possible to help you with your order","Fyll i din email adress och/eller telenr här om du inte ser kassan så kontaktar vi dig omgående och hjälper dig att genomföra ordern"
"Checkout","Kassa"
"Please login or create an account before completing your purchase","Logga in eller skapa ett konto för att gå vidare med ditt köp"
"Describe your problem","Beskriv ditt problem"