"Name & Address","Namn & Adress"
"Shipping Method","Fraktsätt"
"Payment Method","Betalsätt"
"Email Address","Epostadress"
"Address","Adress"
"Company","Företag"
"Shipping Address","Leveransadress"
"Zip/Postal Code","Postnummer"
"City","Stad"
"Country","Land"
"Telephone","Mobilnummer"
"Create an account for later use","Skapa ett konto"
"Password","Lösenord"
"Confirm Password","Bekräfta lösenord"
"Grand Total","Att betala"
"Enter your coupon code:","Ange din rabattkod:"
"Apply","Använd"
"Coupon code ""%s"" was applied.","Rabattkoden ""%s"" är tillämpad."
"Close","Stäng"
"Cancel","Avbryt"
"Coupon code was canceled.","Rabattkoden är avständ"
"Coupon code is not valid.","Rabattkoden är ogiltig"
"Place Order Now","Bekräfta Beställning"
"LOGIN","Redan kund? <u>Logga in</u>"
"Login","Logga in"
"Login to your Account","Logga in till ditt konto"
"Checkout","Kassa"
"Review Your Order","Din kundkorg"
"State/Province","Stat/Provins"
"Edit cart contents","Redigera kundkorg"
"Product Name","Titel"
"Qty","Antal"
"Subtotal","Pris"